CustomerID,Gender,Age,MonthlyCharges,ContractType,TenureMonths,PaymentMethod,SupportCalls,SatisfactionScore,Churn
C01238,Male,50.0,,Monthly,5,Credit Card,1,2.0,No
C01239,Female,30.0,57.43,Monthly,2,,4,6.0,No
C01240,Male,47.0,160.19,Yearly,1,Credit Card,3,8.0,No
C01241,F,37.0,89.04,Yearly,8,Bank Transfer,6,5.0,No
C01242,Female,35.0,35.91,Monthly,35,Bank Transfer,5,4.0,Yes
C01243,Female,40.0,31.86,Monthly,30,E-Wallet,4,8.0,No
C01244,Female,33.0,184.57,Monthly,20,Credit Card,1,,No
C01245,Female,32.0,88.07,Yearly,12,E-Wallet,3,7.0,No
C01246,Female,18.0,71.18,Yearly,24,Bank Transfer,2,7.0,No
C01247,Male,35.0,56.47,Monthly,9,Bank Transfer,3,4.0,No
C01248,Male,32.0,61.75,Monthly,3,Bank Transfer,3,5.0,Yes
C01249,FEMALE,31.0,28.02,Yearly,14,Cash,4,6.0,No
C01250,Female,43.0,,Monthly,31,,3,,Yes
C01251,Female,45.0,56.38,Monthly,1,Credit Card,1,5.0,No
C01252,Male,40.0,36.35,Monthly,4,E-Wallet,3,9.0,Yes
C01253,Male,49.0,42.85,Monthly,4,Bank Transfer,4,7.0,No
C01254,Male,44.0,107.97,Two-Year,2,E-Wallet,9,7.0,No
C01255,Female,34.0,51.61,Two-Year,4,Credit Card,4,8.0,No
C01256,Male,32.0,138.66,Monthly,6,Credit Card,0,8.0,No
C01257,Male,41.0,24.95,Monthly,34,Bank Transfer,2,7.0,No
C01258,Male,44.0,,Yearly,24,E-Wallet,2,5.0,Yes
C01259,Male,54.0,27.21,Monthly,36,Credit Card,1,5.0,No
C01260,Female,,31.68,Monthly,2,Credit Card,0,7.0,No
C01261,Male,31.0,37.61,Monthly,1,E-Wallet,3,10.0,Yes
C01262,Female,36.0,62.92,Monthly,2,Credit Card,0,2.0,No
C01263,Male,46.0,61.56,Monthly,30, E-Wallet,3,8.0,No
C01264,Male,50.0,40.22,Monthly,3,E-Wallet,5,4.0,No
C01265,Male,49.0,20.04,Monthly,11,E-Wallet,4,7.0,No
C01266,Male,37.0,106.16,Yearly,4,E-Wallet,3,6.0,No
C01267,Male,22.0,48.01,Two-Year,1,Bank Transfer,4,6.0,No
C01268,male,26.0,33.04, Monthly ,2,Credit Card,6,7.0,No
C01269,Female,41.0,61.79,Monthly,15,,4,8.0,No
C01270,Male,42.0,59.86,Monthly,3,Credit Card,4,9.0,No
C01271,Female,24.0,47.22,Yearly,4,Credit Card,0,5.0,No
C01272,Female,38.0,58.37,Two-Year,6,Credit Card,3,,No
C01273,Female,45.0,32.47,Monthly,13,E-Wallet,2,7.0,No
C01274,Male,24.0,76.86,Monthly,8,Bank Transfer,2,,No
C01275,Male,,34.86,Monthly,35,Cash,1,6.0,No
C01276,Male,33.0,41.57,Monthly,7,Credit Card,2,8.0,No
C01277,Male,53.0,73.11,Monthly,3,E-Wallet,3,10.0,No
C01278,Female,31.0,93.86,Two-Year,10,Bank Transfer,3,7.0,No
C01279,Male,25.0,111.45,Monthly,8,Credit Card,2,6.0,No
C01280,FEMALE,32.0,87.8,Monthly,19,Bank Transfer,2,6.0,No
C01281,M,36.0,47.19,Two-Year,33,Credit Card ,3,7.0,No
C01282,Female,33.0,27.29,Monthly,22,Bank Transfer,1,6.0,No
C01283,Female,35.0,102.75,Yearly,6,,3,10.0,No
C01284,Male,42.0,,Monthly,3,Cash,2,4.0,Yes
C01285,Male,35.0,40.35,Two-Year,30,Credit Card,4,9.0,Yes
C01286,Male,37.0,,Monthly,6,Cash,3,,Yes
C01287,Male,18.0,1787.0,Two-Year,18,E-Wallet,4,6.0,No
C01288,Male,,107.29,Monthly,55,E-Wallet,3,8.0,No
C01289,Male,36.0,43.31,Monthly,11,Credit Card,1,5.0,No
C01290,Male,57.0,133.01,Monthly,8,Bank Transfer,2,5.0,No
C01291,Male,26.0,77.77,Monthly,15,Bank Transfer,1,5.0,Yes
C01292,Male,18.0,122.6,Monthly,3,Credit Card,4,5.0,No
C01293,Female,45.0,44.31,Two-Year,9,Credit Card,3,7.0,No
C01294,Female,42.0,65.51,Monthly,5,Credit Card,3,10.0,No
C01295,Female,25.0,35.3,Monthly,3,Credit Card,0,8.0,No
C01296,Male,19.0,79.82,Monthly,12,Credit Card,2,8.0,No
C01297,Male,56.0,,Yearly,11,Credit Card,4,4.0,No
C01298,Male,54.0,160.56,Monthly,18,E-Wallet,1,4.0,No
C01299,Female,18.0,67.82,Two-Year,25,E-Wallet,2,8.0,No
C01300,Female,32.0,,Monthly,3,Cash,2,3.0,No
C01301,Male,57.0,44.17,Monthly,19,Credit Card,2,6.0,No
C01302,FEMALE,32.0,69.66,Monthly,6,E-Wallet,1,9.0,No
C01303,Male,32.0,46.02,Yearly,12,Bank Transfer,1,6.0,No
C01304,Female,34.0,57.52,Monthly,23,Bank Transfer,2,6.0,No
C01305,Female,24.0,59.06,Yearly,4,Bank Transfer,5,8.0,No
C01306,Female,18.0,46.59,Monthly,12,E-Wallet,5,6.0,No
C01307,Female,50.0,56.17,Monthly,8,Credit Card,1,8.0,No
C01308,Female,18.0,46.11,Two-Year,19,Credit Card,0,5.0,No
C01309,Male,40.0,46.02,Monthly,15,Credit Card,5,9.0,No
C01310,Female,48.0,88.63,Monthly,18,Credit Card,2,6.0,No
C01311,Male,20.0,59.08,Yearly,5,,1,4.0,Yes
C01312,Female,26.0,63.83,Monthly,15,Bank Transfer,5,7.0,No
C01313,Female,52.0,28.34,Monthly,12,E-Wallet,3,4.0,No
C01314,M,44.0,66.06,Monthly,8,Credit Card,3,7.0,Yes
C01315,Male,30.0,69.32,Two-Year,6,E-Wallet,2,5.0,No
C01316,Female,52.0,45.64,Yearly,5,Credit Card,2,3.0,No
C01317,Female,52.0,139.53,Monthly,1,Credit Card,4,3.0,Yes
C01318,Female,41.0,19.49,Monthly,3,E-Wallet,0,8.0,No
C01319,Male,27.0,77.71,Monthly,1,E-Wallet,2,4.0,No
C01320,Male,33.0,75.25,Yearly,23,Bank Transfer,5,8.0,No
C01321,Male,41.0,69.67,Monthly,24,Credit Card,2,,No
C01322,Male,35.0,59.1,Yearly,23,Cash,0,9.0,No
C01323,Female,49.0,69.95,Monthly,21,E-Wallet,4,7.0,No
C01324,Male,19.0,80.7,Monthly,4,Bank Transfer,3,2.0,Yes
C01325,FEMALE,20.0,39.38,Monthly,9,Cash,1,8.0,No
C01326,Male,40.0,62.47,Monthly,29,Credit Card,0,6.0,No
C01327,Male,,50.27,Yearly,18,,1,9.0,No
C01328,Female,30.0,33.37,Yearly,1,Cash,3,7.0,No
C01329,Female,18.0,75.39,Monthly,8,Bank Transfer,3,8.0,No
C01330,Male,38.0,42.35,Monthly,1,Bank Transfer,4,,No
C01331,Female,37.0,,Yearly,4,Credit Card,1,5.0,No
C01332,Female,45.0,42.84,Monthly,7,Credit Card,1,8.0,No
C01333,Male,38.0,38.11,Monthly,27,Credit Card,1,7.0,No
C01334,Female,36.0,86.73,Monthly,13,Bank Transfer,3,8.0,No
C01335,Female,52.0,58.49,Yearly,6,Credit Card,1,7.0,No
C01336,Female,22.0,101.7,Monthly,9,Credit Card,2,6.0,No
C01337,Male,44.0,40.45,Yearly,21,Bank Transfer,4,4.0,Yes
C01338,Female,18.0,80.91,Yearly,5,E-Wallet,3,6.0,No
C01339,Male,27.0,,Yearly,12,E-Wallet,3,8.0,No
C01340,Male,23.0,64.09,Two-Year,4,E-Wallet,4,6.0,No
C01341,Male,47.0,,Yearly,8,Bank Transfer,1,7.0,No
C01342,Male,37.0,74.6,Monthly,1,Credit Card,4,1.0,Yes
C01343,Female,37.0,28.79,Monthly,23,E-Wallet,2,9.0,No
C01344,Female,24.0,71.07,Monthly,1,,2,8.0,No
C01345,Female,34.0,62.67,Monthly,4,Bank Transfer,2,7.0,No
C01346,Male,28.0,48.58,Monthly,5,Bank Transfer,2,9.0,No
C01347,Male,42.0,36.68,Monthly,12,Bank Transfer,2,7.0,No
C01348,Male,26.0,74.61,Monthly,16,Credit Card,3,9.0,No
C01349,Female,53.0,35.25,Monthly,2,Credit Card,4,6.0,Yes
C01350,Male,18.0,142.61,Yearly,1,Bank Transfer,2,6.0,Yes
C01351,Female,,57.48,Yearly,20,Credit Card,2,7.0,No
C01352,Female,58.0,31.49,Two-Year,15,Cash,0,4.0,No
C01353,Male,32.0,43.32,Monthly,22,Cash,1,9.0,No
C01354,Female,22.0,48.17,Monthly,14,Bank Transfer,2,9.0,No
C01355,M,40.0,161.67,Monthly,17,Cash,3,10.0,No
C01356,Female,32.0,36.67,Monthly,6,E-Wallet,1,6.0,No
C01357,Female,27.0,51.82,Monthly,11,Credit Card,1,7.0,No
C01358,Male,24.0,42.86,Monthly,20,Bank Transfer,1,7.0,No
C01359,Male,71.0,68.35,Monthly,3,Credit Card,2,,No
C01360,Female,34.0,43.17,Yearly,7,E-Wallet,3,7.0,No
C01361,Female,,32.7,Yearly,17,Credit Card,1,7.0,No
C01362,Male,55.0,50.0,Monthly,10,E-Wallet,4,1.0,No
C01363,Female,45.0,47.72,Monthly,14,Bank Transfer,3,5.0,No
C01364,Female,28.0,41.82,Monthly,5,Credit Card ,4,9.0,No
C01365,Female,26.0,42.84,Monthly,1,E-Wallet,5,7.0,Yes
C01366,Male,46.0,93.05,Two-Year,1,E-Wallet,3,3.0,No
C01367,Female,35.0,47.28,Yearly,35,E-Wallet,1,4.0,Yes
C01368,F,18.0,32.77,Monthly,35,E-Wallet,0,,No
C01369,Male,59.0,44.35,Monthly,3,E-Wallet,4,5.0,No
C01370,M,32.0,55.95,Monthly,2,Credit Card,5,8.0,Yes
C01371,Female,55.0,29.92,Monthly,1,Credit Card,1,7.0,No
C01372,Male,53.0,113.49,Two-Year,4,Credit Card,3,8.0,No
C01373,Female,25.0,80.67,Yearly,5,Credit Card,1,7.0,No
C01374,Male,50.0,103.92,Monthly,4,Credit Card,3,6.0,No
C01375,Male,30.0,65.13,Monthly,20,Bank Transfer,2,10.0,No
C01376,Female,18.0,21.28,Yearly,17,Credit Card,3,5.0,No
C01377,Male,32.0,108.95,Monthly,2,Credit Card,2,1.0,Yes
C01378,Male,42.0,37.02,Monthly,15,E-Wallet,1,3.0,No
C01379,Male,32.0,38.4,Monthly,9,Credit Card,2,5.0,No
C01380,Female,34.0,58.58,Monthly,2,Credit Card,6,10.0,No
C01381,Male,51.0,101.51,Monthly,17,Bank Transfer,2,8.0,Yes
C01382,Male,39.0,87.71,Monthly,2,Credit Card,3,4.0,No
C01383,Female,27.0,82.09,Monthly,3,Cash,1,5.0,Yes
C01384,Male,46.0,47.45,Monthly,2,E-Wallet,2,,No
C01385,Female,40.0,47.11,Monthly,34,,1,6.0,No
C01386,Male,,63.79,Yearly,15,Credit Card,0,4.0,No
C01387,Female,43.0,51.49,Monthly,7,Credit Card,2,4.0,No
C01388,Male,42.0,81.47,Yearly,21,E-Wallet,4,5.0,No
C01389,M,38.0,79.32,Monthly,3,Cash,3,4.0,No
C01390,Male,48.0,,Monthly,33,Bank Transfer,3,5.0,No
C01391,Male,29.0,17.52,Yearly,15,E-Wallet,4,7.0,No
C01392,Male,42.0,57.84,Monthly,10,Credit Card,2,7.0,No
C01393,Male,,51.99,Monthly,19,Bank Transfer,2,2.0,No
C01394,Male,42.0,58.89,Monthly,13,Credit Card,4,6.0,No
C01395,Male,61.0,38.88,Monthly,27,Credit Card,2,5.0,No
C01396,Female,26.0,30.08,Yearly,22,Bank Transfer,3,7.0,No
C01397,Male,28.0,67.25,Monthly,3,Credit Card,2,8.0,No
C01398,Male,29.0,46.51, Monthly ,4,E-Wallet,4,8.0,No
C01399,Female,39.0,70.71,Monthly,1,Cash,2,4.0,No
C01400,Female,25.0,40.37,Monthly,3,Credit Card,2,,No
C01401,Male,43.0,103.25,Yearly,6,Credit Card,3,9.0,No
C01402,Male,48.0,,Monthly,1,Credit Card,1,5.0,No
C01403,Male,44.0,62.4,Monthly,5,Credit Card,0,1.0,No
C01404,Female,18.0,49.6,Monthly,18,Bank Transfer,3,8.0,No
C01405,Female,49.0,80.12,Monthly,23,Credit Card,1,4.0,Yes
C01406,Male,49.0,65.15,Monthly,1,Bank Transfer,3,9.0,No
C01407,Female,47.0,,Monthly,1,E-Wallet,4,6.0,Yes
C01408,Female,42.0,87.29,Monthly,2,Credit Card,3,9.0,No
C01409,Female,,103.75,Yearly,25,E-Wallet,0,4.0,No
C01410,Female,,31.08,Yearly,8,Cash,6,6.0,No
C01411,Male,61.0,34.03,Monthly,49,Credit Card,3,7.0,No
C01412,Male,26.0,38.43,Monthly,27,Bank Transfer,1,,No
C01413,Male,50.0,27.77,Monthly,27,,4,7.0,No
C01414,Male,36.0,53.08,Monthly,2,E-Wallet,4,7.0,No
C01415,Female,36.0,71.53,Yearly,8,Credit Card,2,7.0,No
C01416,Female,19.0,54.07,Two-Year,61,E-Wallet,2,4.0,No
C01417,Male,34.0,,Monthly,2,Bank Transfer,2,8.0,No
C01418,Male,26.0,90.64,Monthly,11,Bank Transfer,4,2.0,No
C01419,Male,32.0,58.16,Monthly,6,E-Wallet,0,7.0,No
C01420,Female,24.0,63.71,Monthly,6,Cash,4,3.0,Yes
C01421,Male,32.0,91.78,Monthly,27,E-Wallet,3,7.0,No
C01422,Male,33.0,51.65,Monthly,11,,0,6.0,No
C01423,Male,39.0,137.98,Monthly,18,Credit Card,1,6.0,No
C01424,Male,18.0,44.63,Monthly,14,Credit Card,3,7.0,Yes
C01425,Female,20.0,134.17,Monthly,10,Bank Transfer,5,6.0,No
C01426,Female,42.0,35.21,Monthly,19,Credit Card,3,7.0,No
C01427,Male,28.0,68.91,Yearly,43,,2,8.0,No
C01428,Female,50.0,40.89,Yearly,41,Credit Card,2,1.0,Yes
C01429,Female,40.0,90.36,Two-Year,19,Bank Transfer,1,10.0,No
C01430,Female,45.0,44.03,Monthly,9,E-Wallet,0,4.0,No
C01431,Male,54.0,62.23,Monthly,3,Credit Card ,4,7.0,No
C01432,Male,34.0,40.74,Monthly,1,Credit Card,3,8.0,No
C01433,Male,31.0,83.24,Yearly,4,E-Wallet,4,8.0,No
C01434,FEMALE,48.0,40.65,Monthly,5,E-Wallet,4,8.0,No
C01435,Male,,116.46,Monthly,2,Bank Transfer,5,4.0,Yes
C01436,Male,35.0,34.88,Monthly,4,E-Wallet,2,6.0,No
C01437,Male,54.0,29.8,Two-Year,2,,3,8.0,Yes
C01438,Female,35.0,,Yearly,9,Credit Card,3,6.0,No
C01439,Male,38.0,41.84,Monthly,2,Credit Card,3,8.0,No
C01440,Female,38.0,54.42,Yearly,17,E-Wallet,6,7.0,No
C01441,Female,26.0,47.23,Monthly,5,Credit Card,3,7.0,No
C01442,Male,38.0,30.24,Monthly,14,E-Wallet,0,9.0,No
C01443,Female,54.0,52.74,Yearly,26,Credit Card,2,3.0,No
C01444,Male,43.0,96.47,Monthly,2,E-Wallet,3,3.0,No
C01445,Female,38.0,85.75,Monthly,55,Credit Card,2,8.0,No
C01446,Male,36.0,60.6,Yearly,13,Bank Transfer,4,6.0,No
C01447,Female,41.0,90.06,Monthly,1,E-Wallet,2,6.0,No
C01448,Female,46.0,33.89,Two-Year,5,E-Wallet,2,6.0,No
C01449,Female,45.0,47.16,Monthly,27,E-Wallet,1,9.0,No
C01450,Female,34.0,65.24,Monthly,11,Bank Transfer,3,6.0,No
C01451,M,41.0,51.49,Monthly,5,Bank Transfer,3,7.0,No
C01452,Female,43.0,48.86,Yearly,34,Credit Card,1,7.0,No
C01453,Female,25.0,31.81,Monthly,19,Credit Card,2,9.0,Yes
C01454,Female,40.0,21.4,Monthly,16,E-Wallet,2,7.0,No
C01455,Male,18.0,78.89,Monthly,27,Cash,1,7.0,No
C01456,Female,,60.91,Yearly,18,Bank Transfer,1,4.0,No
C01457,Female,45.0,81.93,Monthly,5,E-Wallet,4,4.0,No
C01458,Female,46.0,44.85,Monthly,11,,1,5.0,No
C01459,male,33.0,39.62,Monthly,23,Cash,0,6.0,No
C01460,FEMALE,41.0,54.76,Monthly,3,E-Wallet,2,,No
C01461,Male,55.0,80.19,Monthly,3,Bank Transfer,0,6.0,No
C01462,Female,54.0,49.2,Monthly,3,Credit Card,0,,No
C01463,Male,37.0,78.32,Yearly,3,Credit Card,5,2.0,No
C01464,Female,39.0,, Monthly ,2,Credit Card,2,6.0,No
C01465,male,51.0,50.77,Monthly,22,E-Wallet,2,5.0,Yes
C01466,Male,19.0,52.9,Monthly,21,Bank Transfer,6,8.0,Yes
C01467,Female,34.0,94.81,Two-Year,2,Bank Transfer,3,7.0,Yes
C01468,Male,54.0,59.95,Monthly,15,Cash,1,9.0,No
C01469,Female,49.0,119.79,Yearly,12,E-Wallet,3,9.0,Yes
C01470,male,42.0,29.77,Yearly,4,E-Wallet,3,10.0,No
C01471,Female,19.0,57.89,Monthly,4,Credit Card,2,,No
C01472,Female,37.0,59.19,Monthly,4,Credit Card,1,8.0,No
C01473,Female,30.0,72.17,Monthly,16,Credit Card,1,6.0,No
C01474,Male,41.0,37.86,Yearly,5,E-Wallet,2,6.0,No
C01475,Male,28.0,116.51, Monthly ,4,Bank Transfer,3,4.0,Yes
C01476,Female,25.0,54.92,Yearly,1,Credit Card,2,5.0,No
C01477,Female,18.0,33.48,Monthly,29,E-Wallet,5,10.0,No
C01478,Female,52.0,54.21,Monthly,17,Credit Card,4,6.0,No
C01479,Female,33.0,47.42,Monthly,8,Bank Transfer,1,3.0,Yes
C01480,Male,39.0,191.03,Monthly,35,E-Wallet,3,5.0,No
C01481,Female,37.0,87.57,Monthly,5,Bank Transfer,3,6.0,No
C01482,Male,25.0,55.83,Monthly,14,Cash,2,4.0,Yes
C01483,Female,,51.92,Monthly,5,Bank Transfer,3,8.0,No
C01484,Male,25.0,83.76,Monthly,5,Credit Card,1,6.0,Yes
C01485,Male,29.0,85.58,Monthly,23,Credit Card,1,7.0,No
C01486,Male,42.0,14.73,Yearly,19,Bank Transfer,3,3.0,No
C01487,Male,28.0,72.92,Monthly,5,E-Wallet,1,4.0,Yes
C01488,Female,58.0,55.29,Yearly,2,Cash,2,4.0,Yes
C01489,Male,50.0,30.26,Monthly,6,Cash,2,8.0,No
C01490,Male,47.0,81.13,Monthly,18,Bank Transfer,1,6.0,No
C01491,Male,36.0,,Monthly,2,Bank Transfer,1,7.0,Yes
C01492,Male,56.0,70.14,Monthly,14,Bank Transfer,2,10.0,No
C01493,Male,35.0,89.59,Monthly,27,Bank Transfer,1,5.0,No
C01494,F,37.0,122.96,Yearly,3,Credit Card,3,,No
C01495,Female,40.0,37.58,Monthly,24,Credit Card,3,6.0,No
C01496,Female,46.0,23.67,Monthly,1,,5,,Yes
C01497,Female,45.0,73.38,Monthly,14,Credit Card,4,7.0,No
C01498,Male,32.0,48.84,Monthly,19,E-Wallet,6,5.0,No
C01499,Male,31.0,29.42,Monthly,8, E-Wallet,3,3.0,Yes
C01500,Female,45.0,52.71,Monthly,3,Bank Transfer,1,1.0,Yes
C01501,F,46.0,75.75,Monthly,32,Credit Card,6,7.0,No
C01502,Male,33.0,3149.0,Monthly,1,Bank Transfer,0,7.0,No
C01503,Male,18.0,38.32,Monthly,10,Bank Transfer,3,8.0,No
C01504,male,35.0,49.37,Monthly,6,Bank Transfer,6,9.0,No
C01505,Male,45.0,,Monthly,8,E-Wallet,4,6.0,No
C01506,Male,59.0,22.91,Monthly,10,E-Wallet,5,6.0,No
C01507,Female,23.0,,Yearly,10,E-Wallet,2,3.0,Yes
C01508,Female,32.0,29.82,Monthly,3,Bank Transfer,2,10.0,No
C01509,F,33.0,73.45,Monthly,14,Credit Card,2,1.0,No
C01510,Female,54.0,,Monthly,1,Bank Transfer,1,6.0,No
C01511,Female,37.0,,Yearly,1,,3,,No
C01512,Female,27.0,45.42,Two-Year,8,E-Wallet,2,5.0,No
C01513,Female,44.0,42.76,Monthly,10,Credit Card,0,4.0,No
C01514,Male,33.0,62.33,Monthly,4,E-Wallet,3,8.0,No
C01515,Male,,36.98,Monthly,10,Credit Card,1,10.0,No
C01516,Male,27.0,61.89,Monthly,9,Bank Transfer,3,10.0,Yes
C01517,Female,58.0,39.27,Monthly,6,E-Wallet,3,4.0,No
C01518,Female,42.0,42.5,Monthly,13,Bank Transfer,3,7.0,No
C01519,Male,39.0,65.52,Monthly,39,Bank Transfer,1,9.0,No
C01520,male,35.0,32.71,Monthly,9,Credit Card,0,8.0,No
C01521,Male,41.0,30.91,Yearly,19,Credit Card,7,7.0,No
C01522,Female,41.0,61.05,Monthly,4,E-Wallet,0,5.0,No
C01523,Male,,53.94,Monthly,18,E-Wallet,3,6.0,No
C01524,Male,39.0,58.9,Monthly,13,E-Wallet,3,5.0,No
C01525,Male,48.0,63.27,Two-Year,13,Credit Card,0,4.0,No
C01526,Male,38.0,56.03,Monthly,27,E-Wallet,3,4.0,No
C01527,Male,26.0,71.78,Monthly,4,Credit Card,1,5.0,Yes
C01528,Male,30.0,57.05,Yearly,6,Credit Card,8,8.0,Yes
C01529,Female,18.0,22.13,Monthly,2,Bank Transfer,3,8.0,No
C01530,Female,62.0,24.86,Monthly,16,Bank Transfer,1,6.0,No
C01531,Male,48.0,130.01,Monthly,23,Credit Card,2,5.0,No
C01532,Female,28.0,54.6,Yearly,7,Credit Card,1,2.0,No
C01533,Female,34.0,83.73,Two-Year,6,Bank Transfer,5,6.0,No
C01534,Male,30.0,46.73,Yearly,13,Credit Card,0,7.0,No
C01535,Male,56.0,53.19,Two-Year,1,Credit Card,1,10.0,No
C01536,Male,20.0,44.52,Monthly,5,Bank Transfer,2,9.0,Yes
C01537,Male,39.0,165.62,Two-Year,6,Credit Card,3,7.0,No
C01538,Female,36.0,61.19,Monthly,9,Bank Transfer,2,6.0,No
C01539,Male,47.0,42.92,Two-Year,8,Cash,6,4.0,No
C01540,Female,36.0,25.97,Monthly,3,Credit Card,3,7.0,Yes
C01541,Female,,132.71,Yearly,10,Cash,4,7.0,No
C01542,Male,34.0,50.73,Monthly,32,Credit Card,2,7.0,No
C01543,Female,26.0,76.32,Monthly,1,Credit Card,4,5.0,No
C01544,Male,38.0,80.25,Monthly,14,E-Wallet,1,10.0,No
C01545,male,55.0,44.33,Monthly,12,E-Wallet,2,10.0,No
C01546,Male,18.0,73.89,Monthly,31,Bank Transfer,2,6.0,Yes
C01547,F,28.0,41.6,Two-Year,13,Credit Card,2,8.0,No
C01548,Female,31.0,34.96,Monthly,12,E-Wallet,1,3.0,Yes
C01549,Male,33.0,92.2,Two-Year,18,Cash,3,4.0,No
C01550,Female,46.0,50.85, Monthly ,4,Cash,3,8.0,No
C01551,Female,35.0,68.95,Monthly,11,Bank Transfer,3,8.0,Yes
C01552,Female,42.0,65.69,Monthly,9,E-Wallet,2,8.0,No
C01553,Female,30.0,72.75,Monthly,7,,3,7.0,No
C01554,Female,40.0,,Monthly,1,E-Wallet,3,8.0,No
C01555,Male,47.0,41.96,Monthly,5,Cash,5,4.0,No
C01556,Male,29.0,47.18,Monthly,4,E-Wallet,2,6.0,No
C01557,Female,47.0,37.56,Monthly,16,E-Wallet,1,10.0,No
C01558,Male,38.0,66.22,Monthly,31,Credit Card,3,6.0,No
C01559,Female,50.0,93.14,Monthly,4,Bank Transfer,1,9.0,Yes
C01560,Female,,100.02,Monthly,1,E-Wallet,3,6.0,No
C01561,Male,42.0,46.87,Yearly,72,Credit Card,1,7.0,No
C01562,Male,37.0,62.26,Monthly,15,Credit Card,7,9.0,No
C01563,Female,36.0,66.72,Monthly,27,Credit Card,2,4.0,No
C01564,Male,41.0,,Monthly,2,Cash,4,9.0,Yes
C01565,Female,44.0,36.78,Yearly,20,E-Wallet,1,6.0,No
C01566,Male,23.0,123.87,Monthly,21,Credit Card,2,8.0,Yes
C01567,Female,55.0,82.84,Monthly,2,Credit Card,1,5.0,Yes
C01568,Male,18.0,83.82,Monthly,3,E-Wallet,0,5.0,No
C01569,Female,29.0,93.84,Two-Year,5,Bank Transfer,0,4.0,No
C01570,Male,36.0,69.43,Two-Year,3,Credit Card,7,5.0,No
C01571,Female,42.0,34.39,Monthly,45,Cash,2,7.0,No
C01572,Male,56.0,51.29,Yearly,6,Bank Transfer,3,7.0,No
C01573,Female,18.0,25.97,Monthly,18,E-Wallet,2,8.0,No
C01574,Female,31.0,65.81,Monthly,20,E-Wallet,3,6.0,No
C01575,Male,18.0,50.6,Monthly,6,Credit Card,5,9.0,No
C01576,Male,38.0,53.61,Monthly,14,Bank Transfer,1,9.0,No
C01577,Male,41.0,93.86,Yearly,2,Bank Transfer,1,15.0,No
C01578,Female,57.0,44.45,Two-Year,7,Cash,0,1.0,No
C01579,Female,39.0,48.74,Monthly,42,Credit Card,2,7.0,Yes
C01580,Female,50.0,,Monthly,3,E-Wallet,2,6.0,No
C01581,Male,45.0,23.86,Monthly,6,Bank Transfer,2,4.0,No
C01582,Male,32.0,48.44, Monthly ,19,E-Wallet,4,10.0,Yes
C01583,Female,21.0,17.84,Two-Year,14,E-Wallet,0,6.0,No
C01584,Male,,41.95,Yearly,12,Credit Card,4,4.0,No
C01585,Female,20.0,80.22,Monthly,24,Credit Card,4,10.0,Yes
C01586,Male,53.0,66.77,Monthly,1,Credit Card,0,6.0,No
C01587,Female,,,Yearly,18,Bank Transfer,4,6.0,No
C01588,Male,52.0,55.61,Monthly,26,Cash,5,7.0,No
C01589,Male,32.0,33.66,Two-Year,1,Credit Card,3,4.0,Yes
C01590,Female,41.0,54.54,Monthly,10,Bank Transfer,1,5.0,Yes
C01591,Female,40.0,204.11,Monthly,6,E-Wallet,5,6.0,No
C01592,Female,37.0,125.29,Monthly,1,Cash,2,10.0,No
C01593,Male,32.0,,Monthly,7,E-Wallet,5,5.0,No
C01594,Male,,58.68,Monthly,13,E-Wallet,4,8.0,No
C01595,Female,26.0,35.13,Monthly,31,,3,7.0,Yes
C01596,Female,23.0,38.06,Yearly,12,Credit Card,3,6.0,No
C01597,Male,52.0,64.26,Monthly,24,Credit Card,2,5.0,No
C01598,Male,46.0,43.11,Monthly,2,Bank Transfer,5,4.0,Yes
C01599,Male,38.0,82.01,Yearly,3,Bank Transfer,2,10.0,No
C01600,Female,57.0,110.65,Yearly,43,Credit Card,2,9.0,Yes
C01601,Male,34.0,63.41,Monthly,27,Credit Card,3,6.0,No
C01602,Male,53.0,,Yearly,4,Credit Card,1,6.0,No
C01603,Male,40.0,25.63,Two-Year,12,,2,5.0,No
C01604,Male,25.0,76.43,Monthly,6,,3,4.0,No
C01605,Male,60.0,,Monthly,8,Cash,4,5.0,No
C01606,Male,49.0,45.24,Monthly,24,Credit Card,2,6.0,Yes
C01607,Male,36.0,84.08,Monthly,16,Credit Card,1,9.0,No
C01608,Female,46.0,86.78,Monthly,4,E-Wallet,4,,No
C01609,Male,33.0,44.26,Monthly,5,Credit Card,1,5.0,Yes
C01610,Female,47.0,45.42,Two-Year,5,Cash,3,,No
C01611,Female,18.0,39.86,Monthly,19,Credit Card,1,5.0,No
C01612,Female,25.0,31.85,Monthly,9,Bank Transfer,3,6.0,No
C01613,Female,49.0,41.03,Yearly,37,E-Wallet,4,9.0,No
C01614,Male,35.0,26.42,Monthly,21,Credit Card,1,,No
C01615,Male,40.0,74.25,Monthly,3,Credit Card,3,5.0,No
C01616,Female,,65.2,Monthly,19,E-Wallet,0,5.0,Yes
C01617,Female,60.0,70.26,Monthly,9,Cash,0,7.0,No
C01618,Female,52.0,35.54,Two-Year,4,E-Wallet,2,3.0,No
C01619,Female,35.0,31.89,Monthly,6,E-Wallet,1,6.0,No
C01620,Female,,55.93,Yearly,43,Cash,2,4.0,Yes
C01621,Male,50.0,56.2,Monthly,8,Credit Card,1,6.0,No
